Alpha-numeric code(s),Alpha-numeric code(s),Station name,Station name,Station name,Opening,Name(s) during planning stages,Abbreviation,Location(s),Connection(s) to other transport
In operation,Future,English • Malay,Chinese,Tamil,Opening,Name(s) during planning stages,Abbreviation,Location(s),Connection(s) to other transport
North South Line (NSL),North South Line (NSL),North South Line (NSL),North South Line (NSL),North South Line (NSL),North South Line (NSL),North South Line (NSL),North South Line (NSL),North South Line (NSL),North South Line (NSL)
NS1  EW24,JE5,Jurong East,裕廊东,ஜூரோங் கிழக்கு,10 March 1990,Jurong East,JUR,Jurong East,Jurong East Temporary Bus Interchange
NS2,N/A,Bukit Batok,武吉巴督,புக்கிட் பாத்தோக்,10 March 1990,Bukit Batok South,BBT,Bukit Batok,Bukit Batok Bus Interchange
NS3,N/A,Bukit Gombak,武吉甘柏,புக்கிட் கோம்பாக்,10 March 1990,Bukit Batok North,BGB,Bukit Batok,
N/A,NS3A,Brickland,红砖,பிரிக்லேன்ட்,Mid-2030s,Brickland,TBA,Exact location not yet known,
NS4  BP1,JS1,Choa Chu Kang,蔡厝港,சுவா சூ காங்,10 March 1990,Choa Chu Kang,CCK,Choa Chu Kang,Choa Chu Kang Bus Interchange
NS5,N/A,Yew Tee,油池,இயூ டீ,10 February 1996,Choa Chu Kang North,YWT,Choa Chu Kang,
N/A,NS6  DT,Sungei Kadut,双溪加株,சுங்கை காடுத்,Mid-2030s,"Kadut,[14] Sungei Kadut",TBA,Sungei Kadut,
NS7,N/A,Kranji,克兰芝,கிராஞ்சி,10 February 1996,Kranji,KRJ,Sungei Kadut,
NS8,N/A,Marsiling,马西岭,மார்சிலிங்,10 February 1996,Woodlands West,MSL,Woodlands,
NS9  TE2,N/A,Woodlands,兀兰,ஊட்லண்ட்ஸ்,10 February 1996,Woodlands Central,WDL,Woodlands,Woodlands Temporary Bus Interchange
NS10,N/A,Admiralty,海军部,அட்மிரல்ட்டி,10 February 1996,Woodlands East,ADM,Woodlands,
NS11,N/A,Sembawang,三巴旺,செம்பாவாங்,10 February 1996,Sembawang,SBW,Sembawang,Sembawang Bus Interchange
NS12,N/A,Canberra,坎贝拉,கான்பரா,2 November 2019,Canberra,CBR,Sembawang,
NS13,N/A,Yishun,义顺,யீஷூன்,20 December 1988,Nee Soon North,YIS,Yishun,Yishun Bus Interchange
NS14,N/A,Khatib,卡迪,காதிப்,20 December 1988,Nee Soon South,KTB,Yishun,
NS15,N/A,Yio Chu Kang,杨厝港,இயோ சூ காங்,7 November 1987,Yio Chu Kang,YCK,Ang Mo Kio,Yio Chu Kang Bus Interchange
NS16,CR11,Ang Mo Kio,宏茂桥,அங் மோ கியோ,7 November 1987,Ang Mo Kio,AMK,Ang Mo Kio,Ang Mo Kio Bus Interchange
NS17  CC15,N/A,Bishan,碧山,பீஷான்,7 November 1987,"Kampong San Teng, San Teng",BSH,Bishan,Bishan Bus Interchange
NS18,N/A,Braddell,布莱德,பிரேடல்,7 November 1987,Braddell,BDL,Toa Payoh,
NS19,N/A,Toa Payoh,大巴窑,தோ பாயோ,7 November 1987,Toa Payoh,TAP,Toa Payoh,Toa Payoh Bus Interchange
NS20,N/A,Novena,诺维娜,நொவீனா,12 December 1987,Thomson,NOV,Novena,
NS21  DT11,N/A,Newton,纽顿,நியூட்டன்,12 December 1987,Newton Circus,NEW,Newton,
NS22,TE14,Orchard,乌节,ஆர்ச்சர்ட்,12 December 1987,"Scotts, Orchard Boulevard",ORC,"Orchard Planning Area, River Valley Planning Area",
NS23,N/A,Somerset,索美塞,சாமர்செட்,12 December 1987,Killiney,SOM,Orchard Planning Area,
NS24  NE6  CC1,N/A,Dhoby Ghaut,多美歌,டோபி காட்,12 December 1987,Dhoby Ghaut,DBG,Museum Planning Area,
NS25  EW13,N/A,City Hall,政府大厦,நகர மண்டபம்,12 December 1987,Saint Andrew's,CTH,Downtown Core,
NS26  EW14,N/A,Raffles Place,莱佛士坊,ராஃபிள்ஸ் பிளேஸ்,12 December 1987,Central,RFP,Downtown Core,
NS27  CE2,TE20,Marina Bay,滨海湾,மரீனா பே,4 November 1989,"Telok Ayer Basin, Marina South",MRB,"Downtown Core, Straits View Planning Area",
NS28,N/A,Marina South Pier,滨海南码头,மரினா சவுத் படகுத்துறை,23 November 2014,"Marina View, Marina Pier",MSP,Straits View Planning Area,Marina South Pier
East West Line (EWL),East West Line (EWL),East West Line (EWL),East West Line (EWL),East West Line (EWL),East West Line (EWL),East West Line (EWL),East West Line (EWL),East West Line (EWL),East West Line (EWL)
EW1,CR5   CP1,Pasir Ris,巴西立,பாசிர் ரிஸ்,16 December 1989,Pasir Ris,PSR,Pasir Ris,Pasir Ris Bus Interchange
EW2  DT32,N/A,Tampines,淡滨尼,தெம்பினிஸ்,16 December 1989,Tampines North,TAM,Tampines,"Tampines Bus Interchange,  Tampines Concourse Bus Interchange"
EW3,N/A,Simei,四美,ஸீமெய்,16 December 1989,Tampines South,SIM,Tampines,
EW4   CG,TE [a],Tanah Merah,丹那美拉,தானா மேரா,4 November 1989,"Bedok, Changi",TNM,Bedok,
EW5,N/A,Bedok,勿洛,பிடோக்,4 November 1989,Chai Chee,BDK,Bedok,Bedok Bus Interchange
